Brand,Model,Price,Range,Power,Battery
Maruti,SuzukieVitara,15.99,440.0,142.0,49.0
Tata,PunchEV,9.69,275.0,87.0,30.0
Mahindra,XEV9e,21.9,542.0,228.0,59.0
Mahindra,BE6,18.9,557.0,228.0,59.0
MG,WindsorEV,14.0,332.0,134.0,38.0
MG,CometEV,7.5,230.0,41.42,17.3
MG,Cyberster,75.0,580.0,503.0,77.0
Tata,NexonEV,12.49,275.0,127.0,30.0
Tata,HarrierEV,21.49,538.0,235.0,65.0
Tata,TiagoEV,7.99,250.0,60.34,19.2
Hyundai,CretaElectric,18.02,473.0,133.0,42.0
Vayve,MobilityEva,3.25,175.0,16.0,12.6
Kia,EV6,65.97,663.0,321.0,84.0
MG,ZSEV,17.99,461.0,174.33,50.3
VinFast,VF7,21.89,438.0,174.33,59.6
Tata,CurvvEV,17.49,430.0,148.0,45.0
VinFast,VF6,17.29,468.0,174.33,59.6
MG,M9,69.9,548.0,242.0,90.0
BYD,Sealion7,49.4,567.0,308.0,82.56
BYD,Seal,41.0,510.0,201.15,61.44
BMW,iX1,49.9,531.0,204.0,66.4
Volvo,EX30,39.99,480.0,272.0,69.0
BYD,Atto3,24.99,468.0,201.0,49.92
Mahindra,XUV400EV,15.49,375.0,147.51,34.5
BMW,i4,72.5,483.0,335.25,70.2
Toyota,UrbanCruiserEBELLA,18.0,440.0,142.15,49.0
